original affiliation,alias
KELLEY SCHOOL OF BUSINESS-INDIANAPOLIS INDIANA UNIVERSITY,INDIANA UNIVERSITY
KELLOGG,NORTHWESTERN UNIVERSITY
KELLOGG FINANCE,NORTHWESTERN UNIVERSITY
KELLOGG GRADUATE SCHOOL OF MANAGEMENT,NORTHWESTERN UNIVERSITY
KELLOGG GRADUATE SCHOOL OF MANAGEMENT AT NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
KELLOGG GRADUATE SCHOOL OF MANAGEMENT NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
KELLOGG SCHOOL,NORTHWESTERN UNIVERSITY
KELLOGG SCHOOL NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
KELLOGG SCHOOL OF MANAGEMENT,NORTHWESTERN UNIVERSITY
KELLOGG SCHOOL OF MANAGEMENT (NORTHWESTERN),NORTHWESTERN UNIVERSITY
KELLOGG SCHOOL OF MANAGEMENT AT NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
KELLOGG SCHOOL OF MANAGEMENT NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
KELLSTADT GRADUATE SCHOOL OF BUSINESS DEPAUL UNIVERSITY,DEPAUL UNIVERSITY
KELLSTADT GRADUATE SCHOOL OF BUSINESS DEPAUL UNIVERSITY DEPARTMENT OF FINANCE CHICAGO ILLINOIS,DEPAUL UNIVERSITY
KELLY SCHOOL OF BUSINESS AT INDIANA UNIVERSITY INDIANAPOLIS,INDIANA UNIVERSITY
KEMAN-FLAGIER BUSINESS SCHOOL UNIVERSITY OF NORTH CAROLINA,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN FLAGLER BUSINESS SCHOOL UNC CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN FLAGLER BUSINESS SCHOOL UNIVERSITY OF NORTH CAROLINA-CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN-FLAGLER BUSINESS SCHOOL THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN-FLAGLER BUSINESS SCHOOL UNC-CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN-FLAGLER BUSINESS SCHOOL UNIVERSITY OF NORTH CAROLINA,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN-FLAGLER BUSINESS SCHOOL UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN-FLAGLER BUSINESS SCHOOL UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENAN-FLAGLER BUSINESS SCHOOL UNIVERSITY OF NORTH CAROLINA-CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENNAN-FLAGLER BUSINESS SCHOOL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
KENNEDY SCHOOL OF GOVERNMENT,HARVARD UNIVERSITY
KENNEDY SCHOOL OF GOVERNMENT HARVARD UNIVERSITY,HARVARD UNIVERSITY
KENNESAW STATE UNIVERSITY,KENNESAW STATE UNIVERSITY
KENNESAW STATE UNIVERSITY MICHEL J COLES COLLEGE OF BUSINESS,KENNESAW STATE UNIVERSITY
KENT STATE UNIVERSITY,KENT STATE UNIVERSITY
KENTUCKY,UNIVERSITY OF KENTUCKY
KENYON COLLEGE,KENYON COLLEGE
KIEL,UNIVERSITY OF KIEL
KIEL ECONOMICS RESEARCH & FORECASTING GMBH & CO KG,KIEL ECONOMICS RESEARCH AND FORECASTING
KIEL INSTITUTE FOR THE WORLD ECONOMY,KIEL INSTITUTE FOR THE WORLD ECONOMY
KIEL INSTITUTE FOR THE WORLD ECONOMY (IFW KIEL),KIEL INSTITUTE FOR THE WORLD ECONOMY
KIEL INSTITUTE FOR THE WORLD ECONOMY (IFW),KIEL INSTITUTE FOR THE WORLD ECONOMY
KIEL INSTITUTE FOR WORLD ECONOMICS,KIEL INSTITUTE FOR THE WORLD ECONOMY
KIEL INSTITUTE OF THE WORLD ECONOMY,KIEL INSTITUTE FOR THE WORLD ECONOMY
KIEL INSTITUTE OF WORLD ECONOMICS,KIEL INSTITUTE FOR THE WORLD ECONOMY
KING'S COLLEGE,"KINGS COLLEGE, LONDON"
KING'S COLLEGE WILKES-BARRE,?
"KINGS COLLEGE, LONDON","KINGS COLLEGE, LONDON"
KINGSTON UNIVERSITY,KINGSTON UNIVERSITY
KINKI UNIVERSITY,KINKI UNIVERSITY
KIT,UNIVERSITY OF KARLSRUHE
KM MOODY S SAN FRANCISCO,MOODYS SAN FRANCISCO
KMV,MOODYS NEW YORK
KOBE,KOBE CITY UNIVERSITY OF FOREIGN STUDIES
KOBE CITY UNIVERSITY OF FOREIGN STUDIES,KOBE CITY UNIVERSITY OF FOREIGN STUDIES
KOBE GAKUIN UNIVERSITY,KOBE GAKUIN UNIVERSITY
KOBE UNIVERSITY,KOBE CITY UNIVERSITY OF FOREIGN STUDIES
KOBE UNIVERSITY KOBE,KOBE UNIVERSITY
KOBLENZ BUSINESS SCHOOL,WHU-OTTO BEISHEIM SCHOOL OF MANAGEMENT
KOC UNIVERSITY,KOC UNIVERSITY
KOC UNIVERSITY ISTANBUL,KOC UNIVERSITY
KOF SWISS ECONOMIC INSTITUTE,UNIVERSITY OF ZURICH
KOF SWISS ECONOMIC INSTITUTE ETH ZURICH,UNIVERSITY OF ZURICH
KOF SWISS ECONOMIC INSTITUTE SWITZERLAND,UNIVERSITY OF ZURICH
KOGOD COLLEGE OF BUSINESS ADMINISTRATION AMERICAN UNIVERSITY,AMERICAN UNIVERSITY WASHINGTON
KOGOD SCHOOL OF BUSINESS,AMERICAN UNIVERSITY WASHINGTON
KOGOD SCHOOL OF BUSINESS AMERICAN UNIVERSITY,AMERICAN UNIVERSITY WASHINGTON
KOGOD SCHOOL OF BUSINESS AT AMERICAN UNIVERSITY,AMERICAN UNIVERSITY WASHINGTON
KONAN UNIVERSITY,KONAN UNIVERSITY
KONIGLICHE NIEDERLANDISCHE BOTSCHAFT,KONIGLICHE NIEDERLANDISCHE BOTSCHAFT
KONKUK UNIVERSITY,KONKUK UNIVERSITY
KONSTANZ,UNIVERSITY OF KONSTANZ
KONSTANZ UNIVERSITY,UNIVERSITY OF KONSTANZ
KOOKMIN UNIVERSITY,KOOKMIN UNIVERSITY
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY (KAIST),KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY (SEOUL),KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
KOREA DEPOSIT INSURANCE CORPORATION,KOREA DEPOSIT INSURANCE CORPORATION
KOREA DEVELOPMENT INSTITUTE,KOREA DEVELOPMENT INSTITUTE
KOREA DEVELOPMENT INSTITUTE SCHOOL OF PUBLIC POLICY AND MANAGEMENT,KOREA DEVELOPMENT INSTITUTE SCHOOL OF PUBLIC POLICY AND MANAGEMENT
KOREA ECONOMIC RESEARCH INSTITUTE,KOREA ECONOMIC RESEARCH INSTITUTE
KOREA INSTITUTE FOR INTERNATIONAL ECONOMIC POLICY,KOREA INSTITUTE FOR INTERNATIONAL ECONOMIC POLICY
KOREA INSTITUTE OF FINANCE,KOREA INSTITUTE OF FINANCE
KOREA SECURITIES RESEARCH INSTITUTE,KOREA CAPITAL MARKET INSTITUTE
KOREA UNIVERSITY,KOREA UNIVERSITY
KOREA UNIVERSITY BUSINESS SCHOOL,KOREA UNIVERSITY
KOREA UNIVERSITY BUSINESS SCHOOL SEOUL,KOREA UNIVERSITY
KOREAN DEVELOPMENT INSTITUTE,KOREAN DEVELOPMENT INSTITUTE
KOREAN FINANCE INSTITUTION,KOREA INSTITUTE OF FINANCE
KOREAN FINANCIAL SUPERVISORY SERVICE,KOREAN FINANCIAL SUPERVISORY SERVICE
KOREAN INSTITUTE OF INTERNATIONAL ECONOMICS,KOREA INSTITUTE FOR INTERNATIONAL ECONOMIC POLICY
KORTEWEG-DE VRIES INSTITUTE UNIVERSITY OF AMSTERDAM,UNIVERSITY OF AMSTERDAM
KRAHENBUHL FINANCIAL CONSULTING,KRAHENBUHL FINANCIAL CONSULTING
KRANNERT GRADUATE SCHOOL OF MANAGEMENT,PURDUE UNIVERSITY
KRANNERT GRADUATE SCHOOL OF MANAGEMENT AT PURDUE UNIVERSITY,PURDUE UNIVERSITY
KRANNERT GRADUATE SCHOOL OF MANAGEMENT PURDUE UNIVERSITY,PURDUE UNIVERSITY
KRANNERT GRADUATE SCHOOL OF MANAGEMENT PURDUE UNIVERSITY WEST LAFAYETTE,PURDUE UNIVERSITY
KRANNERT GRADUATE SCHOOLOF MANAGEMENT PURDUE UNIVERSITY,PURDUE UNIVERSITY
KRANNERT SCHOOL OF MANAGEMENT,PURDUE UNIVERSITY
KRANNERT SCHOOL OF MANAGEMENT AT PURDUE,PURDUE UNIVERSITY
KRANNERT SCHOOL OF MANAGEMENT PURDUE UNIVERSITY,PURDUE UNIVERSITY
KRANNERT SCHOOL OF MANAGEMENT PURDUE UNIVERSITY WEST LAFAYETTE,PURDUE UNIVERSITY
KU LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
KU LEUVEN LEUVEN SCHOOL OF BUSINESS AND ECONOMICS,KATHOLIEKE UNIVERSITEIT LEUVEN
KU LEUVEN LICOS,KATHOLIEKE UNIVERSITEIT LEUVEN
KUWAIT UNIVERSITY,KUWAIT UNIVERSITY
KWANSEI GAKUIN UNIVERSITY,KWANSEI GAKUIN UNIVERSITY
KWANTLEN POLYTECHNIC UNIVERSITY PROFESSIONAL AND CONTINUING EDUCATION,KWANTLEN POLYTECHNIC UNIVERSITY
KYONGGI UNIVERSITY,KYONGGI UNIVERSITY
KYOTO INSTITUTE FOR ECONOMIC RESEARCH KYOTO UNIVERSITY,KYOTO UNIVERSITY
KYOTO INSTITUTE OF ECONOMIC RESEARCH KYOTO UNIVERSITY,KYOTO UNIVERSITY
KYOTO UNIVERSITY,KYOTO UNIVERSITY
KYUNG HEE UNIVERSITY,KYUNG HEE UNIVERSITY
KYUNGHEE UNIVERSITY,KYUNG HEE UNIVERSITY
KYUNGPOOK NATIONAL UNIVERSITY,KYUNGPOOK NATIONAL UNIVERSITY
L O G INTERNATIONAL CORP NEW YORK,L O G INTERNATIONAL NEW YORK
L UNIVERSITE DE PARIS I (ROSES),UNIVERSITY OF PARIS I
L'ECOLE DES HAUTES ETUDES COMMERCIALES (MONTREAL),HEC MONTREAL
LA SALLE UNIVERSITY,LA SALLE UNIVERSITY
LA SORBONNE,UNIVERSITY OF PARIS I
LA TROBE UNIVERSITY,LA TROBE UNIVERSITY
LABIS DIPARTIMENTO DI ECONOMIA UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITY POLITECNICA MARCHE
LABORATOIRE DIEUDONNE UNIVERSITE NICE SOPHIA-ANTIPOLIS,UNIVERSITY OF NICE SOPHIA ANTIPOLIS
LABORATOIRE FINANCE-ASSURANCE CREST,CENTER FOR RESEARCH IN ECONOMICS AND STATISTICS
LABOVITZ SCHOOL OF BUSINESS AND ECONOMICS UNIVERSITY OF MINNESOTA-DULUTH,UNIVERSITY OF MINNESOTA
LAFAYETTE COLLEGE,LAFAYETTE COLLEGE
LAKEHEAD UNIVERSITY,LAKEHEAD UNIVERSITY
LALLY SCHOOL OF MANAGEMENT & TECHNOLOGY RENSSELAER POLYTECHNIC INSTITUTE,RENSSELAER POLYTECHNIC INSTITUTE
LALLY SCHOOL OF MANAGEMENT AND TECHNOLOGY RENSSELAER POLYTECHNIC INSTITUTE,RENSSELAER POLYTECHNIC INSTITUTE
LALLY SCHOOL OF MANAGEMENT RENSSELAER POLYTECHNIC INSTITUTE,RENSSELAER POLYTECHNIC INSTITUTE
LANCASTER,LANCASTER UNIVERSITY
LANCASTER U,LANCASTER UNIVERSITY
LANCASTER UNIVERSITY,LANCASTER UNIVERSITY
LANCASTER UNIVERSITY (ENGLAND),LANCASTER UNIVERSITY
LANCASTER UNIVERSITY LANCASTER,LANCASTER UNIVERSITY
LANCASTER UNIVERSITY MANAGEMENT SCHOOL,LANCASTER UNIVERSITY
LANCASTER UNIVERSITY MANAGEMENT SCHOOL DEPARTMENT OF ACCOUNTING AND FINANCE,LANCASTER UNIVERSITY
LANGSTON UNIVERSITY,LANGSTON UNIVERSITY
LAPPEENRANTA UNIVERSITY OF TECHNOLOGY SCHOOL OF BUSINESS,LAPPEENRANTA UNIVERSITY
LAREQUAD & FSEGT UNIVERSITY OF TUNIS EL MANAR,UNIVERSITY OF TUNIS EL MANAR
LARGE INSTITUT D'ETUDES POLITIQUES UNIVERSITE DE STRASBOURG,UNIVERSITY OF STRASBOURG
LAURENTIAN BANK OF CANADA,LAURENTIAN BANK OF CANADA
LAUSANNE,UNIVERSITY OF LAUSANNE
LAVAL,UNIVERSITY LAVAL
LAVAL (QUEBEC),UNIVERSITY LAVAL
LAVAL UNIVERSITY,UNIVERSITY LAVAL
LAW SCHOOL AND GRADUATE SCHOOL OF BUSINESS ROCK CENTER FOR CORPORATE GOVERNANCE STANFORD UNIVERSITY,STANFORD UNIVERSITY
LAW SCHOOL UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN
LAWRENCE UNIVERSITY,LAWRENCE UNIVERSITY
LBS,LONDON BUSINESS SCHOOL
LE CENTRE INTERUNIVERSITAIRE DE RECHERCHE EN ANALYSE DES ORGANISATIONS (CIRANO) IN MONTREAL,CIRANO
LE MOYNE COLLEGE,LE MOYNE COLLEGE
LEAVEY COLLEGE OF BUSINESS AND ADMINISTRATION SANTA CLARA UNIVERSITY,SANTA CLARA UNIVERSITY
LEAVEY SCHOOL OF BUSINESS AND ADMINISTRATION SANTA CLARA UNIVERSITY,SANTA CLARA UNIVERSITY
LEAVEY SCHOOL OF BUSINESS SANTA CLARA UNIVERSITY,SANTA CLARA UNIVERSITY
LEAVY SCHOOL OF BUSINESS SANTA CLARA UNIVERSITY,SANTA CLARA UNIVERSITY
LEBANESE AMERICAN UNIVERSITY,LEBANESE AMERICAN UNIVERSITY
LEBOW COLLEGE OF BUSINESS AT DREXEL UNIVERSITY,DREXEL UNIVERSITY
LEBOW COLLEGE OF BUSINESS DREXEL UNIVERSITY,DREXEL UNIVERSITY
LEBOW COLLEGE OF BUSINESS DREXEL UNIVERSITY PHILADELPHIA,DREXEL UNIVERSITY
LECG,LECG LLC
LECG LLC,LECG LLC
LECG/NAVIGANT CONSULTING EVANSTON ILLINOIS,LECG/NAVIGANT CONSULTING
LEE KONG CHIAN SCHOOL OF BUSINESS OF SINGAPORE MANAGEMENT UNIVERSITY,SINGAPORE MANAGEMENT UNIVERSITY
LEE KONG CHIAN SCHOOL OF BUSINESS SINGAPORE MANAGEMENT UNIVERSITY,SINGAPORE MANAGEMENT UNIVERSITY
LEEDS,UNIVERSITY OF LEEDS
LEEDS SCHOOL OF BUSINESS UNIVERSITY OF COLORADO,UNIVERSITY OF COLORADO
LEEDS SCHOOL OF BUSINESS UNIVERSITY OF COLORADO AT BOULDER,UNIVERSITY OF COLORADO
LEEDS UNIVERSITY BUSINESS SCHOOL,UNIVERSITY OF LEEDS
LEEDS UNIVERSITY BUSINESS SCHOOL THE UNIVERSITY OF LEEDS,UNIVERSITY OF LEEDS
LEEDS UNIVERSITY BUSINESS SCHOOL UNIVERSITY OF LEEDS,UNIVERSITY OF LEEDS
LEHIGH UNIVERSITY,LEHIGH UNIVERSITY
LEHIGH UNIVERSITY COLLEGE OF BUSINESS AND ECONOMICS,LEHIGH UNIVERSITY
LEHMAN BROTHER LONDON,LEHMAN BROTHERS
LEHMAN BROTHERS,LEHMAN BROTHERS
LEHMAN BROTHERS INC NEW YORK,LEHMAN BROTHERS
LEHMAN BROTHERS INCORPORATION,LEHMAN BROTHERS
LEHMAN BROTHERS LONDON,LEHMAN BROTHERS
LEHMAN BROTHERS NEW YORK,LEHMAN BROTHERS
LEIBNIZ UNIVERSITAT HANNOVER,LEIBNIZ UNIVERSITY HANNOVER
LEIBNIZ UNIVERSITAT HANNOVER DEPARTMENT OF ECONOMIC,LEIBNIZ UNIVERSITY HANNOVER
LEIBNIZ UNIVERSITY HANNOVER,LEIBNIZ UNIVERSITY HANNOVER
LEICESTER,UNIVERSITY OF LEICESTER
LEICESTER UNIVERSITY,UNIVERSITY OF LEICESTER
LEND LEASE INVESTMENT MANAGEMENT SYDNEY,LEND LEASE INVESTMENT MANAGEMENT SYDNEY
LEON RECANATI SCHOOL OF BUSINESS ADMINISTRATION TEL AVIV UNIVERSITY,TEL AVIV UNIVERSITY
LEONARD N STERN SCHOOL OF BUSINESS,NEW YORK UNIVERSITY
LEONARD N STERN SCHOOL OF BUSINESS AT NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
LEONARD N STERN SCHOOL OF BUSINESS NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
LEONARD N STERN SCHOOLOF BUSINESS AT NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
LEONARD NSTERN SCHOOL OF BUSINESS NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
LEONARD STERN SCHOOL OF BUSINESS NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
LEONARD STERN SCHOOL OF BUSINESS SALOMON BROTHERS CENTER NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
LERNER COLLEGE OF BUSINESS AND ECONOMICS UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
LERNER SCHOOL OF BUSINESS AND ECONOMICS UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE
LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
LEUVEN CATHOLIC UNIVERSITY,KATHOLIEKE UNIVERSITEIT LEUVEN
LEUVEN UNIVERSITY,KATHOLIEKE UNIVERSITEIT LEUVEN
LEXECON INC,LEXECON INC
LEXECON INC CHICAGO,LEXECON
LIEGE,UNIVERSITY OF LIEGE
LIFE,MAASTRICHT UNIVERSITY
LIFE MAASTRICHT UNIVERSITY,MAASTRICHT UNIVERSITY
LIFE OF MAASTRICHT UNIVERSITY,MAASTRICHT UNIVERSITY
LILLE ECONOMIE ET MANAGEMENT (LEM) UMR CNRS,CATHOLIC UNIVERSITY OF LILLE
LILLE GRADUATE SCHOOL OF MANAGEMENT,CATHOLIC UNIVERSITY OF LILLE
LILLE SCHOOL OF MANAGEMENT,CATHOLIC UNIVERSITY OF LILLE
LIMBURG,UNIVERSITY OF LIMBURG
LIMBURG INSTITUTE OF FINANCIAL ECONOMICS FACULTY OF ECONOMICS AND BUSINESS ADMINISTRATION MAASTRICHT UNIVERSITY,MAASTRICHT UNIVERSITY
LIMBURG INSTITUTE OF FINANCIAL ECONOMICS MAASTRICHT UNIVERSITY,MAASTRICHT UNIVERSITY
LIMOGES UNIVERSITY,UNIVERSITY OF LIMOGES
LINCOLN CAPITAL MANAGEMENT,CORAL CAPITAL MANAGEMENT
LINGNAN UNIVERSITY,LINGNAN UNIVERSITY
LINGNAN UNIVERSITY HONG KONG,LINGNAN UNIVERSITY
LINGNAN UNIVERSITY TUEN MUN HONG KONG,LINGNAN UNIVERSITY
LISBON,NEW UNIVERSITY OF LISBON (NOVA)
LISBON UNIVERSITY,NEW UNIVERSITY OF LISBON (NOVA)
LITTAUER CENTER DEPARTMENT OF ECONOMICS HARVARD UNIVERSITY,HARVARD UNIVERSITY
LITTAUER CENTER HARVARD UNIVERSITY,HARVARD UNIVERSITY
LIVERPOOL UNIVERSITY,UNIVERSITY OF LIVERPOOL
LJUBLJANA,UNIVERSITY OF LJUBLJANA
LOAN PERFORMANCE SAN FRANCISCO,"LOAN PERFORMANCE, SAN FRANCISCO"
LOMA LINDA UNIVERSITY,LOMA LINDA UNIVERSITY
LOMBARD RISK CONSULTANTS LIMITED,LOMBARD RISK CONSULTANTS
LONDON (IMPERIAL COLLEGE),IMPERIAL COLLEGE LONDON
LONDON BUSINESS SCHOOL,LONDON BUSINESS SCHOOL
LONDON BUSINESS SCHOOL CENTRE FOR CORPORATE GOVERNANCE,LONDON BUSINESS SCHOOL
LONDON BUSINESS SCHOOL INSTITUTE OF FINANCE,LONDON BUSINESS SCHOOL
LONDON BUSINESS SCHOOL INSTITUTE OF FINANCE AND ACCOUNTING,LONDON BUSINESS SCHOOL
LONDON BUSINESS SCHOOL LONDON,LONDON BUSINESS SCHOOL
LONDON BUSINESS SCHOOL REGENT'S PARK,LONDON BUSINESS SCHOOL
LONDON BUSINESS SCHOOL'S CENTRE FOR HEDGE FUND RESEARCH AND EDUCATION,LONDON BUSINESS SCHOOL
LONDON CAPITAL ONTARIO,LONDON CAPITAL ONTARIO
LONDON FINANCIAL REGULATION SEMINAR,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON GUILDHALL UNIVERSITY,LONDON GUILDHALL UNIVERSITY
LONDON IMPERIAL COLLEGE,IMPERIAL COLLEGE LONDON
LONDON METROPOLITAN UNIVERSITY,LONDON METROPOLITAN UNIVERSITY
LONDON SCHOOL OF BUSINESS,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS DEPARTMENT OF FINANCE,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS FINANCIAL MARKETS GROUP,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS FMG,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS MANAGERIAL ECONOMICS AND STRATEGY GROUP,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONDON SCHOOL OF ECONOMICS UK,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LONG TERM CAPITAL MANAGEMENT,LONG TERM CAPITAL MANAGEMENT
LONG TERM CAPITAL MANAGEMENT (LONDON),LONG TERM CAPITAL MANAGEMENT
LOS ANGELES CHAPTER OF THE GLOBAL ASSOCIATION OF RISK PROFESSIONALS,GLOBAL ASSOCIATION OF RISK PROFESSIONALS
LOUGHBOROUGH UNIVERSITY,LOUGHBOROUGH UNIVERSITY
LOUGHBOROUGH UNIVERSITY BANKING CENTRE LOUGHBOROUGH UNIVERSITY,LOUGHBOROUGH UNIVERSITY
LOUGHBOROUGH UNIVERSITY LOUGHBOROUGH,LOUGHBOROUGH UNIVERSITY
LOUISIANA  STATE UNIVERSITY,LOUISIANA STATE UNIVERSITY
LOUISIANA STATE,LOUISIANA STATE UNIVERSITY
LOUISIANA STATE UNIVERSITY,LOUISIANA STATE UNIVERSITY
LOUISIANA STATE UNIVERSITY DEPARTMENT OF FINANCE,LOUISIANA STATE UNIVERSITY
LOUISIANA TECH UNIVERSITY,LOUISIANA TECHNICAL UNIVERSITY
LOUISIANA TECH UNIVERSITY COLLEGE OF ADMINISTRATION AND BUSINESS,LOUISIANA TECHNICAL UNIVERSITY
LOUISIANA TECHNICAL UNIVERSITY,LOUISIANA TECHNICAL UNIVERSITY
LOUVAIN,UNIVERSITE CATHOLIQUE DE LOUVAIN
LOUVAIN SCHOOL OF MANAGEMENT,UNIVERSITE CATHOLIQUE DE LOUVAIN
LOUVAIN SCHOOL OF MANAGEMENT (IAG) UNIVERSITE CATHOLIQUE DE LOUVAIN,UNIVERSITE CATHOLIQUE DE LOUVAIN
LOUVAIN-LA-NEUVE,UNIVERSITE CATHOLIQUE DE LOUVAIN
LOWRY MAYS COLLEGE,TEXAS A&M UNIVERSITY
LOWRY MAYS COLLEGE AND GRADUATE SCHOOL OF BUSINESS TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
LOYOLA,LOYOLA UNIVERSITY
LOYOLA COLLEGE,"LOYOLA COLLEGE, BALTIMORE"
LOYOLA COLLEGE IN MARYLAND,"LOYOLA COLLEGE, BALTIMORE"
LOYOLA COLLEGE IN MARYLAND SELLINGER SCHOOL OF BUSINESS & MANAGEMENT,"LOYOLA COLLEGE, BALTIMORE"
"LOYOLA COLLEGE, BALTIMORE","LOYOLA COLLEGE, BALTIMORE"
LOYOLA MARYMOUNT UNIVERSITY,LOYOLA MARYMOUNT UNIVERSITY
LOYOLA MARYMOUNT UNIVERSITY LOS ANGELES,LOYOLA MARYMOUNT UNIVERSITY
LOYOLA OF CHICAGO,LOYOLA UNIVERSITY
LOYOLA UNIVERSITY,LOYOLA UNIVERSITY
LOYOLA UNIVERSITY AT CHICAGO,LOYOLA UNIVERSITY
LOYOLA UNIVERSITY CHICAGO,LOYOLA UNIVERSITY
LOYOLA UNIVERSITY CHICAGO SCHOOL OF BUSINESS,LOYOLA UNIVERSITY
LOYOLA UNIVERSITY OF CHICAGO,LOYOLA UNIVERSITY
LSE,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LSE (FMG),LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LSE-FMG,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LSU,LOUISIANA STATE UNIVERSITY
LSV ASSET MANAGEMENT,LSV ASSET MANAGEMENT
LTCM LONDON,LONG TERM CAPITAL MANAGEMENT
LUBAR SCHOOL OF BUSINESS UNIVERSITY OF WISCONSIN-MILWAUKEE,UNIVERSITY OF WISCONSIN-MILWAUKEE
LUBIN SCHOOL OF BUSINESS PACE UNIVERSITY,PACE UNIVERSITY
LUDWIG-MAXIMILIANS UNIVERSITY,UNIVERSITY OF MUNICH
LUDWIG-MAXIMILIANS UNIVERSITY OF MUNICH,UNIVERSITY OF MUNICH
LUDWIG-MAXIMILIANS-UNIVERSITAT (MUNICH),UNIVERSITY OF MUNICH
LUGANO,UNIVERSITY OF LUGANO
LUISS,UNIVERSITY LUISS GUIDO CARLI
LUISS G CARLI,UNIVERSITY LUISS GUIDO CARLI
LUISS GUIDO CARLI,UNIVERSITY LUISS GUIDO CARLI
LUISS GUIDO CARLI ROME,UNIVERSITY LUISS GUIDO CARLI
LUISS UNIVERSITY,UNIVERSITY LUISS GUIDO CARLI
LUMS,LAHORE UNIVERSITY OF MANAGEMENT SCIENCE
LUND UNIVERSITY,LUND UNIVERSITY
LUND UNIVERSITY DEPARTMENT OF ECONOMIC,LUND UNIVERSITY
LUND UNIVERSITY SWEDEN AND RESEARCH INSTITUTE OF INDUSTRIAL ECONOMICS (IUI),LUND UNIVERSITY
LUNDQUIST COLLEGE OF BUSINESS UNIVERSITY OF OREGON,UNIVERSITY OF OREGON
LUNGHWA UNIVERSITY OF SCIENCE AND TECHNOLOGY,LUNGHWA UNIVERSITY OF SCIENCE AND TECHNOLOGY
LUSK CENTER FOR REAL ESTATE SCHOOL OF POLICY PLANNING AND DEVELOPMENT,UNIVERSITY OF SOUTHERN CALIFORNIA
LUSK CENTRE FOR REAL ESTATE SCHOOL OF POLICY PLANNING AND DEVELOPMENT,UNIVERSITY OF SOUTHERN CALIFORNIA
LUXEMBOURG SCHOOL OF FINANCE UNIVERSITY OF LUXEMBOURG,UNIVERSITY OF LUXEMBURG
